date,open,high,low,close,volume
1970-01-01 00:28:34.003200,273.4500,274.3500,267.2400,269.3800,1760649
1970-01-01 00:28:33.916800,270.6300,274.8580,269.6450,273.0100,2467127
1970-01-01 00:28:33.830400,272.1400,274.4800,271.0500,273.5400,2493321
1970-01-01 00:28:33.744000,269.8400,273.1400,269.8400,271.9100,2165755
1970-01-01 00:28:33.484800,264.6300,269.3800,260.6800,268.9300,3380330
1970-01-01 00:28:33.398400,265.6400,265.9200,262.5800,262.7500,2082791
1970-01-01 00:28:33.312000,267.5400,268.7750,263.3850,264.0700,2175120
1970-01-01 00:28:33.225600,266.8300,267.5100,263.8100,265.6400,2017573
1970-01-01 00:28:33.139200,269.9300,270.9289,264.3450,265.5100,1740174
1970-01-01 00:28:32.880000,268.7700,269.3000,266.1650,267.2800,2140134
1970-01-01 00:28:32.793600,270.2200,273.0000,268.4450,270.0000,2169844
1970-01-01 00:28:32.707200,267.9600,268.3800,264.6300,266.4500,1949622
1970-01-01 00:28:32.620800,270.1900,271.2900,268.5750,270.3600,1792342
1970-01-01 00:28:32.534400,269.4800,270.2100,267.5550,269.2000,1830096
1970-01-01 00:28:32.275200,265.9000,273.0700,265.0800,269.9500,2293783
1970-01-01 00:28:32.188800,276.0500,276.7299,267.7509,268.0900,2448951
1970-01-01 00:28:32.102400,275.6900,276.4700,273.6800,274.4200,1668687
1970-01-01 00:28:32.016000,283.3400,283.9100,276.0400,276.2100,2219955
1970-01-01 00:28:31.929600,282.1100,283.8300,279.0000,283.0400,1864077
1970-01-01 00:28:31.584000,287.8600,288.5650,284.2100,284.3200,2289919
1970-01-01 00:28:31.497600,284.2200,286.8200,282.5500,286.3000,2256315
1970-01-01 00:28:31.411200,282.1500,284.5000,280.7000,281.7700,3343181
1970-01-01 00:28:31.324800,276.4300,281.3300,275.4100,280.8200,2954416
1970-01-01 00:28:31.065600,277.3900,278.2900,275.1000,276.1700,2303249
1970-01-01 00:28:30.979200,274.6300,277.9200,274.3900,276.9500,2489645
1970-01-01 00:28:30.892800,271.2100,273.0800,269.2400,273.0500,2564622
1970-01-01 00:28:30.806400,270.1800,273.1600,269.5100,271.7300,3037584
1970-01-01 00:28:30.720000,270.0000,273.5800,269.2142,270.9000,3608491
1970-01-01 00:28:30.460800,272.0900,275.1800,268.1700,268.8700,8795786
1970-01-01 00:28:30.374400,276.8400,277.2300,270.4500,271.5400,2366326
1970-01-01 00:28:30.288000,278.1800,278.5600,275.2100,275.9900,1632622
1970-01-01 00:28:30.201600,276.8500,278.1500,274.1400,276.5400,1738506
1970-01-01 00:28:30.115200,274.5100,278.1900,272.9900,275.3600,1845661
1970-01-01 00:28:29.856000,272.8100,276.5600,272.0100,273.7500,2251117
1970-01-01 00:28:29.769600,276.3000,276.8100,269.5800,272.8600,4066261
1970-01-01 00:28:29.683200,275.3800,278.9687,274.5500,276.5900,2240153
1970-01-01 00:28:29.596800,279.6200,279.7500,275.0175,276.6500,3064004
1970-01-01 00:28:29.510400,283.2600,285.8900,277.6500,279.3900,2470317
1970-01-01 00:28:29.251200,276.5000,281.9250,274.8800,280.3300,3772930
1970-01-01 00:28:29.164800,278.5200,279.8250,273.4300,273.8300,5863428
1970-01-01 00:28:29.078400,278.9900,280.4300,277.0900,277.4600,3026971
1970-01-01 00:28:28.992000,279.1000,281.2162,277.0900,278.4900,3353933
1970-01-01 00:28:28.905600,288.2800,289.8700,285.4250,286.3700,2448935
1970-01-01 00:28:28.646400,286.5200,292.2400,286.0100,289.1800,2462555
1970-01-01 00:28:28.560000,282.4800,285.7200,281.3000,285.1800,2992891
1970-01-01 00:28:28.473600,284.8400,285.7800,280.8000,283.4600,1934490
1970-01-01 00:28:28.387200,283.8500,285.3000,280.5500,283.5100,3402126
1970-01-01 00:28:28.041600,287.7100,287.7100,283.2700,283.7000,3596798
1970-01-01 00:28:27.955200,287.8800,290.3500,285.6000,289.0700,2901954
1970-01-01 00:28:27.868800,289.8800,290.8700,287.5450,290.0700,2617288
1970-01-01 00:28:27.782400,294.6100,295.5200,286.8900,290.4800,3610118
1970-01-01 00:28:27.696000,289.9700,294.6000,288.8595,294.4300,3298539
1970-01-01 00:28:27.436800,294.8500,295.0000,289.7100,291.1200,3341055
1970-01-01 00:28:27.350400,297.0000,298.0000,288.7800,294.8500,5946119
1970-01-01 00:28:27.264000,315.5100,315.5100,295.2750,295.8700,8411337
1970-01-01 00:28:27.177600,325.4000,326.9600,314.7500,316.0700,5767390
1970-01-01 00:28:27.091200,323.5300,329.7200,317.7150,321.9700,3563345
1970-01-01 00:28:26.832000,323.6400,325.7750,320.7500,323.1900,2585923
1970-01-01 00:28:26.745600,314.5000,324.8200,313.6950,324.5600,3883174
1970-01-01 00:28:26.659200,316.0000,316.6350,312.6200,314.2600,3456737
1970-01-01 00:28:26.572800,312.5300,314.9200,310.5200,314.6200,2636955
1970-01-01 00:28:26.486400,311.4400,313.6200,309.8901,313.4500,2447608
1970-01-01 00:28:26.227200,310.5700,312.0200,309.8607,311.7700,2035761
1970-01-01 00:28:26.140800,308.7200,310.3200,305.7000,310.2600,2005410
1970-01-01 00:28:26.054400,309.9200,312.4500,305.2400,305.5000,1949617
1970-01-01 00:28:25.968000,309.5300,311.3000,309.1000,309.9100,1775382
1970-01-01 00:28:25.881600,308.7000,312.1600,306.6000,310.1600,2599964
1970-01-01 00:28:25.622400,304.7300,309.0900,301.1100,307.8100,2566513
1970-01-01 00:28:25.536000,302.2500,305.6450,299.5500,304.4900,2357076
1970-01-01 00:28:25.449600,302.4600,304.6300,301.1000,304.0800,2210523
1970-01-01 00:28:25.363200,306.5100,308.0000,301.1800,303.4800,1996271
1970-01-01 00:28:25.017600,305.2400,306.9500,303.4000,306.5100,1567908
1970-01-01 00:28:24.931200,303.4300,304.6050,300.0000,303.1000,2137224
1970-01-01 00:28:24.844800,307.1600,307.6400,304.2700,304.5700,2210940
1970-01-01 00:28:24.758400,308.0200,309.9700,305.9400,307.2600,2603714
1970-01-01 00:28:24.672000,301.4700,311.0500,300.3450,310.8800,3467666
1970-01-01 00:28:24.412800,302.2000,303.5300,299.7600,303.0000,1874286
1970-01-01 00:28:24.326400,301.5000,305.0900,298.5900,303.1700,3358035
1970-01-01 00:28:24.240000,300.0500,303.2500,297.0450,300.6900,2771618
1970-01-01 00:28:24.153600,287.2800,300.6450,287.2800,297.3900,3375095
1970-01-01 00:28:23.808000,287.8600,288.4900,286.3900,288.0200,1766799
1970-01-01 00:28:23.721600,287.8800,289.0400,287.6300,288.4600,1228453
1970-01-01 00:28:23.635200,284.5000,287.2900,283.3500,286.5300,1829709
1970-01-01 00:28:23.548800,284.1200,284.7200,281.6700,283.9000,1330502
1970-01-01 00:28:23.203200,280.0000,285.6800,280.0000,284.1600,1814168
1970-01-01 00:28:23.116800,276.5500,279.8200,276.4000,279.3300,1850006
1970-01-01 00:28:23.030400,277.8300,278.8000,275.0100,275.1800,2561239
1970-01-01 00:28:22.944000,278.6900,280.5700,276.5921,278.4400,2455524
1970-01-01 00:28:22.857600,277.0000,277.1000,274.3500,275.4800,2227641
1970-01-01 00:28:22.598400,276.2700,279.2700,273.3250,275.4500,8731114
1970-01-01 00:28:22.512000,281.3200,282.7300,274.0800,276.3200,2935224
1970-01-01 00:28:22.425600,274.1600,281.8500,273.3100,281.6200,2379968
1970-01-01 00:28:22.339200,277.1300,277.2500,273.2600,273.9900,2557058
1970-01-01 00:28:22.252800,271.9600,275.9000,270.4200,272.1400,2838632
1970-01-01 00:28:21.993600,271.1700,271.9700,268.8200,269.1200,2608218
1970-01-01 00:28:21.907200,270.5000,273.4100,266.6300,271.3100,2081420
1970-01-01 00:28:21.820800,271.4100,271.9600,269.1300,269.3500,1657037
1970-01-01 00:28:21.734400,271.8700,272.0000,268.4721,270.8700,1853625
1970-01-01 00:28:21.648000,270.8800,273.4300,270.1000,272.5400,2357389
1970-01-01 00:28:21.388800,269.9650,272.5900,267.6200,272.4500,2303908
1970-01-01 00:28:21.302400,267.7100,270.5600,267.3400,269.6400,2686388
1970-01-01 00:28:21.216000,264.7400,268.1100,263.5000,266.6000,2005178
1970-01-01 00:28:21.129600,264.3600,266.6000,263.6500,265.5200,1753577
1970-01-01 00:28:21.043200,265.4300,265.5700,261.6600,264.2700,1846377
1970-01-01 00:28:20.784000,265.1200,266.1000,264.8901,265.4600,930804
1970-01-01 00:28:20.611200,264.7900,266.4700,262.2600,264.5900,1649119
1970-01-01 00:28:20.524800,265.3400,266.0400,260.5200,262.8200,2636833
1970-01-01 00:28:20.438400,262.5900,266.7000,261.4450,265.3500,2214007
1970-01-01 00:28:20.179200,269.4100,269.4100,264.6000,265.3900,2642931
1970-01-01 00:28:20.092800,272.6100,274.4400,267.8700,269.0000,2366352
1970-01-01 00:28:20.006400,270.2800,274.6100,270.0200,273.0300,2795245
1970-01-01 00:28:19.920000,269.2200,272.9500,268.3550,270.0200,2059956
1970-01-01 00:28:19.833600,265.6800,267.2200,263.5250,266.6900,1579817
1970-01-01 00:28:19.574400,266.6400,267.9400,262.5100,267.3100,2070704
1970-01-01 00:28:19.488000,272.1300,273.2300,263.7000,264.0600,2265983
1970-01-01 00:28:19.401600,272.4200,274.7700,270.7450,273.2600,1916893
