date,open,high,low,close,volume
1970-01-01 00:28:33.916800,278.0000,278.9393,274.1100,276.1900,3925829
1970-01-01 00:28:33.830400,274.9500,276.7000,270.4100,276.6800,6285237
1970-01-01 00:28:33.744000,279.3900,279.7000,269.5600,273.8100,6747204
1970-01-01 00:28:33.484800,272.4900,273.1500,268.7300,270.3700,4913553
1970-01-01 00:28:33.398400,276.3200,276.3300,269.7500,271.9200,5918155
1970-01-01 00:28:33.312000,277.7400,278.9678,274.8400,276.3200,4199384
1970-01-01 00:28:33.225600,274.7800,280.5600,272.4401,277.4100,7624347
1970-01-01 00:28:33.139200,282.9400,286.4766,271.6600,272.9000,18365087
1970-01-01 00:28:32.880000,296.8700,297.8500,293.5000,294.3200,3819966
1970-01-01 00:28:32.793600,299.4700,301.0900,296.4077,299.1500,3468596
1970-01-01 00:28:32.707200,298.4500,300.9200,298.1500,299.6200,3036384
1970-01-01 00:28:32.620800,303.3200,305.6000,299.2501,302.3700,2990297
1970-01-01 00:28:32.534400,301.1000,303.5000,299.5200,301.7300,3135720
1970-01-01 00:28:32.275200,293.5400,303.4150,293.2950,301.9100,4253651
1970-01-01 00:28:32.188800,308.2600,311.3000,292.1000,294.1400,8339822
1970-01-01 00:28:32.102400,303.9900,307.1600,303.1000,304.7400,3029396
1970-01-01 00:28:32.016000,297.5000,304.4570,294.8895,304.0000,4721587
1970-01-01 00:28:31.929600,301.6900,303.5100,299.9900,302.2600,2813080
1970-01-01 00:28:31.584000,300.0000,302.8000,299.6348,301.1800,4892275
1970-01-01 00:28:31.497600,307.4400,309.3000,298.6300,301.3800,3859858
1970-01-01 00:28:31.411200,307.4800,307.9800,304.8900,305.8300,3893853
1970-01-01 00:28:31.324800,303.7000,307.7100,302.5400,306.0600,4141223
1970-01-01 00:28:31.065600,309.3200,310.2300,306.6500,307.7700,3779208
1970-01-01 00:28:30.979200,307.9400,311.8000,306.3500,308.3900,6083853
1970-01-01 00:28:30.892800,301.9700,307.0200,300.6850,306.0800,4946571
1970-01-01 00:28:30.806400,298.1800,301.7700,296.6200,301.4500,3329873
1970-01-01 00:28:30.720000,299.6200,300.9700,296.0200,300.5100,5240467
1970-01-01 00:28:30.460800,298.9600,300.0500,293.7700,294.3300,11885105
1970-01-01 00:28:30.374400,305.0000,309.4900,301.9950,303.3200,4814216
1970-01-01 00:28:30.288000,305.0000,307.7300,303.1100,304.6800,5250230
1970-01-01 00:28:30.201600,306.7100,309.0400,303.8700,306.6200,4824359
1970-01-01 00:28:30.115200,302.6400,307.6100,300.2500,306.0000,4867042
1970-01-01 00:28:29.856000,302.2000,308.8700,302.2000,305.2800,4851635
1970-01-01 00:28:29.769600,306.0000,306.7700,301.7500,302.4200,6788862
1970-01-01 00:28:29.683200,304.6450,305.8900,302.7350,303.7700,8270036
1970-01-01 00:28:29.596800,311.3100,312.5500,296.1400,298.7500,9015308
1970-01-01 00:28:29.510400,314.5700,317.6550,313.5400,314.6400,9349980
1970-01-01 00:28:29.251200,307.0000,318.7150,306.6151,316.8800,9366647
1970-01-01 00:28:29.164800,300.0000,310.5400,294.7900,308.8200,21737805
1970-01-01 00:28:29.078400,299.5800,300.8750,296.6100,299.7700,12490784
1970-01-01 00:28:28.992000,301.5800,301.7500,296.6000,299.5000,6178811
1970-01-01 00:28:28.905600,295.5900,303.8299,295.0000,300.3900,8719272
1970-01-01 00:28:28.646400,298.0000,298.0000,291.0800,292.8000,4416764
1970-01-01 00:28:28.560000,292.0000,294.6300,291.4000,293.6500,5264297
1970-01-01 00:28:28.473600,280.0700,283.5700,278.3550,283.5500,3799041
1970-01-01 00:28:28.387200,289.5000,290.8500,284.1550,286.3900,4285328
1970-01-01 00:28:28.041600,292.0000,292.0700,287.8800,289.7200,4159391
1970-01-01 00:28:27.955200,291.3400,292.0000,288.0100,291.9400,3986522
1970-01-01 00:28:27.868800,285.0000,289.4600,284.6400,289.1500,3850721
1970-01-01 00:28:27.782400,280.4100,283.4299,276.4223,281.1500,4956553
1970-01-01 00:28:27.696000,290.8200,291.0000,287.0000,287.3200,3750035
1970-01-01 00:28:27.436800,293.2500,295.2400,291.0500,291.3000,4376347
1970-01-01 00:28:27.350400,289.3000,293.1100,288.9800,291.9500,4488432
1970-01-01 00:28:27.264000,287.3500,289.8000,285.2000,288.8400,3621376
1970-01-01 00:28:27.177600,287.9400,288.6400,281.9100,285.8300,4207846
1970-01-01 00:28:27.091200,286.2500,289.0500,281.3600,288.1100,5274790
1970-01-01 00:28:26.832000,285.2000,288.1600,283.1600,285.6600,3629843
1970-01-01 00:28:26.745600,282.0100,285.0500,281.3600,283.8000,3218346
1970-01-01 00:28:26.659200,284.0500,285.6300,280.8200,281.0900,4557283
1970-01-01 00:28:26.572800,287.6300,289.2900,286.5157,287.7300,4810928
1970-01-01 00:28:26.486400,281.4000,288.1500,281.0000,287.8600,5762263
1970-01-01 00:28:26.227200,279.2800,283.3400,278.6850,279.9400,4877365
1970-01-01 00:28:26.140800,278.6100,279.8528,276.8600,279.0300,4178020
1970-01-01 00:28:26.054400,279.9800,280.9600,276.6900,276.8800,7025634
1970-01-01 00:28:25.968000,280.8300,281.7100,275.7100,276.7700,6573810
1970-01-01 00:28:25.881600,283.7900,285.7200,280.1700,280.3000,6735912
1970-01-01 00:28:25.622400,276.5100,282.0000,275.5279,280.8800,7413577
1970-01-01 00:28:25.536000,273.0000,275.6900,272.1400,274.4600,4752437
1970-01-01 00:28:25.449600,268.2900,271.9000,264.1300,271.4400,4706498
1970-01-01 00:28:25.363200,269.7000,271.5650,267.7200,269.1900,5858670
1970-01-01 00:28:25.017600,271.2300,275.2400,271.0600,271.9300,4847604
1970-01-01 00:28:24.931200,268.0000,272.9600,265.1000,271.3800,9012600
1970-01-01 00:28:24.844800,263.2700,266.4600,262.7500,264.1300,5128300
1970-01-01 00:28:24.758400,259.5000,263.9300,258.7800,261.3400,4571839
1970-01-01 00:28:24.672000,252.2100,261.5600,251.3900,260.8700,6626012
1970-01-01 00:28:24.412800,251.2100,253.9100,250.1700,251.1200,3575807
1970-01-01 00:28:24.326400,251.8300,252.6400,249.8400,251.2400,4489773
1970-01-01 00:28:24.240000,253.5000,254.1600,251.7700,251.8400,5097120
1970-01-01 00:28:24.153600,260.5400,260.5600,253.7700,256.1300,4741418
1970-01-01 00:28:23.808000,265.0100,265.6491,262.6550,263.1400,3706552
1970-01-01 00:28:23.721600,266.5000,266.9200,265.3000,265.5800,2958714
1970-01-01 00:28:23.635200,265.9400,267.0100,265.4000,266.7200,3128892
1970-01-01 00:28:23.548800,265.5300,266.5300,264.6200,266.2200,3219024
1970-01-01 00:28:23.203200,267.2600,268.1500,265.3000,266.3400,3110591
1970-01-01 00:28:23.116800,264.7500,268.3600,264.2400,267.2500,5160697
1970-01-01 00:28:23.030400,261.6600,264.9200,260.0800,260.2500,4510533
1970-01-01 00:28:22.944000,265.4700,266.5800,263.7351,264.3400,4648854
1970-01-01 00:28:22.857600,259.8200,265.5900,259.6800,263.5900,7498521
1970-01-01 00:28:22.598400,255.0100,262.3100,254.5100,261.6000,13739532
1970-01-01 00:28:22.512000,256.5000,258.7700,253.2200,257.2100,6613211
1970-01-01 00:28:22.425600,257.5100,259.1200,255.1600,257.3200,6567630
1970-01-01 00:28:22.339200,251.8000,256.5800,251.0200,256.4500,5827551
1970-01-01 00:28:22.252800,250.0000,253.5200,249.7100,252.1000,4765980
1970-01-01 00:28:21.993600,248.5500,252.0900,248.0000,250.8100,4605805
1970-01-01 00:28:21.907200,248.7500,250.7300,246.8861,248.8500,6568249
1970-01-01 00:28:21.820800,251.5200,253.9827,248.8500,249.1300,5288675
1970-01-01 00:28:21.734400,249.9900,251.6700,248.6400,251.0200,5771514
1970-01-01 00:28:21.648000,252.8000,255.1200,249.8500,250.6600,11429249
1970-01-01 00:28:21.388800,250.0000,263.4300,249.7000,260.0000,14538232
1970-01-01 00:28:21.302400,249.0500,252.5000,243.6500,251.9000,24425715
1970-01-01 00:28:21.216000,228.6100,231.5000,227.2600,230.3500,12327442
1970-01-01 00:28:21.129600,223.6100,225.5300,222.2300,224.9200,5535336
1970-01-01 00:28:21.043200,225.5000,226.2200,224.2500,224.7900,4885506
1970-01-01 00:28:20.784000,224.3600,224.4900,222.1200,224.3800,1869111
1970-01-01 00:28:20.611200,224.3000,225.6894,223.2100,223.8400,3894413
1970-01-01 00:28:20.524800,224.0000,225.9700,223.5400,224.3200,3852324
1970-01-01 00:28:20.438400,221.4300,226.1000,220.6200,225.1300,4600980
1970-01-01 00:28:20.179200,221.1700,222.7900,220.3800,221.2200,3636397
1970-01-01 00:28:20.092800,220.0000,222.7700,218.9400,221.4500,3712533
1970-01-01 00:28:20.006400,220.7500,221.3700,217.6600,219.4200,4800679
1970-01-01 00:28:19.920000,219.0000,221.2500,217.9500,221.1800,4743828
1970-01-01 00:28:19.833600,212.5700,216.1400,211.7600,215.2800,3306626
1970-01-01 00:28:19.574400,209.4000,214.2650,208.8448,213.6300,4113413
1970-01-01 00:28:19.488000,213.5700,213.5800,209.0700,210.0100,4731434
1970-01-01 00:28:19.401600,212.4200,212.5200,209.6500,211.4700,3433465
1970-01-01 00:28:19.315200,209.5000,213.3400,208.9550,211.8400,5467113
1970-01-01 00:28:19.228800,208.2100,208.4800,204.6900,207.4200,3729658
1970-01-01 00:28:18.969600,209.3900,210.1800,207.2000,207.4700,3861880
1970-01-01 00:28:18.883200,206.3100,208.2600,205.9500,208.1100,4963628
1970-01-01 00:28:18.796800,200.9200,204.4900,200.4900,203.9100,3593561
1970-01-01 00:28:18.710400,200.4200,201.9100,198.6600,200.8300,3425426
1970-01-01 00:28:18.624000,199.0000,200.5800,197.0800,199.2700,3438456
1970-01-01 00:28:18.364800,197.3000,198.3100,195.4100,196.5700,3168554
1970-01-01 00:28:18.278400,197.4200,199.6600,193.6800,196.2500,5149060
1970-01-01 00:28:18.192000,203.2000,203.7400,195.4300,197.0600,4489976
1970-01-01 00:28:18.105600,203.7300,204.6400,200.9250,204.2200,3959708
1970-01-01 00:28:18.019200,199.9000,203.5700,197.8500,202.0000,4564116
1970-01-01 00:28:17.760000,207.3600,208.1100,202.1200,203.7300,5539077
1970-01-01 00:28:17.673600,206.4500,210.9500,205.5300,208.3200,4995930
1970-01-01 00:28:17.587200,208.8800,209.6300,204.1900,204.8300,3380758
1970-01-01 00:28:17.500800,206.4900,211.9400,206.0000,209.8400,4006090
1970-01-01 00:28:17.414400,205.8400,209.4900,205.0400,208.5300,3623223
1970-01-01 00:28:17.155200,205.1100,207.1400,203.2100,204.5900,3678409
1970-01-01 00:28:17.068800,207.8300,208.5800,203.2700,205.6800,3548635
1970-01-01 00:28:16.982400,207.2300,209.2000,204.4100,206.8500,3971001
1970-01-01 00:28:16.896000,207.6400,209.2154,206.2600,206.8800,4503470
1970-01-01 00:28:16.809600,204.8900,208.2800,204.6900,207.2200,2781322
1970-01-01 00:28:16.550400,200.4800,208.2700,199.8900,207.3600,4989189
1970-01-01 00:28:16.464000,202.0000,202.1500,198.4901,202.0100,3592613
1970-01-01 00:28:16.377600,200.8800,202.7399,199.5100,201.8700,3656350
1970-01-01 00:28:16.291200,202.7500,203.5650,197.4200,199.8300,4622359
1970-01-01 00:28:16.204800,200.8000,205.1100,200.5200,203.7100,3745684
1970-01-01 00:28:15.945600,205.0800,207.7900,202.1000,202.7800,4405143
1970-01-01 00:28:15.859200,200.7600,205.1500,199.5503,203.2000,4344035
1970-01-01 00:28:15.772800,202.9900,203.9300,200.9400,202.7300,4123766
1970-01-01 00:28:15.686400,205.4700,206.4400,201.2800,202.4900,5404503
1970-01-01 00:28:15.600000,205.0000,206.5300,203.8700,206.3400,4067309
1970-01-01 00:28:15.340800,209.3100,209.7200,205.8800,206.4300,3848593
1970-01-01 00:28:15.254400,209.8000,211.8925,208.0700,208.6100,4957895
1970-01-01 00:28:15.168000,215.2000,217.1800,212.9200,213.0300,2991594
1970-01-01 00:28:15.081600,214.3900,216.0600,212.2600,215.7000,4002204
1970-01-01 00:28:14.995200,214.5600,216.3800,214.1800,215.0000,4279576
1970-01-01 00:28:14.736000,218.8700,219.1899,213.4600,214.6100,9939044
1970-01-01 00:28:14.649600,219.4200,220.5740,218.3400,218.7800,4297203
1970-01-01 00:28:14.563200,221.1800,221.8600,218.2950,218.8000,4173592
1970-01-01 00:28:14.476800,223.4500,224.7900,221.2600,221.6600,4002279
1970-01-01 00:28:14.390400,226.0100,226.8250,222.7900,225.3100,4417969
1970-01-01 00:28:14.131200,223.3200,225.4700,222.8600,224.7600,4580356
1970-01-01 00:28:14.044800,219.7700,222.7300,219.3100,222.5300,4201915
1970-01-01 00:28:13.958400,219.4700,222.2099,219.0200,221.6200,5066665
1970-01-01 00:28:13.872000,219.3300,220.3199,217.6100,218.6900,5807335
1970-01-01 00:28:13.526400,223.5000,223.9700,220.5200,221.5300,5600939
1970-01-01 00:28:13.440000,228.0000,228.7900,221.2000,221.4600,19268398
1970-01-01 00:28:13.353600,211.7700,215.5900,209.4300,215.0400,9946011
1970-01-01 00:28:13.267200,206.7500,212.4600,206.5200,211.9600,5850364
1970-01-01 00:28:13.180800,210.4500,213.4767,209.6400,211.7200,4086852
1970-01-01 00:28:12.921600,205.5100,210.7900,205.4800,209.4700,3068820
1970-01-01 00:28:12.835200,211.0100,211.9900,205.4400,205.5100,3960326
1970-01-01 00:28:12.748800,208.0000,210.9900,207.1400,209.1300,3833154
1970-01-01 00:28:12.662400,209.8500,210.1050,206.0018,206.7600,3153623
1970-01-01 00:28:12.576000,206.0000,209.4200,204.2200,209.0300,4023325
1970-01-01 00:28:12.316800,200.9700,205.4970,200.2000,204.8300,4267165
1970-01-01 00:28:12.230400,206.5700,206.9300,203.3900,203.8400,4062741
1970-01-01 00:28:12.144000,208.0000,209.6900,206.9500,206.9900,2759603
1970-01-01 00:28:12.057600,210.3300,212.3700,207.8400,208.7800,4076371
1970-01-01 00:28:11.971200,207.9000,212.1000,207.1200,212.0600,3304673
1970-01-01 00:28:11.712000,206.1300,209.5000,205.5000,208.7000,2930776
1970-01-01 00:28:11.625600,208.1800,210.3400,206.4400,208.2500,4004728
1970-01-01 00:28:11.539200,211.6500,211.6600,204.9100,205.8600,7847512
1970-01-01 00:28:11.452800,213.5500,214.1900,211.1400,211.5800,4843817
1970-01-01 00:28:11.366400,215.3100,216.8909,214.3700,216.0600,3615192
1970-01-01 00:28:11.107200,216.4100,217.2500,213.0700,214.5900,4800357
1970-01-01 00:28:11.020800,216.2000,218.2100,214.6000,215.5600,5517079
1970-01-01 00:28:10.934400,221.9800,222.8500,218.7950,220.5000,5129661
1970-01-01 00:28:10.848000,223.8900,224.8100,221.6300,224.2700,4214465
1970-01-01 00:28:10.761600,222.3500,225.3800,221.7500,225.0100,5573114
1970-01-01 00:28:10.502400,226.0000,227.3100,223.9800,225.6000,4239278
1970-01-01 00:28:10.416000,228.0400,230.1399,224.0100,225.1500,4299574
1970-01-01 00:28:10.329600,224.4600,227.5100,223.1200,225.5800,4856673
1970-01-01 00:28:10.243200,225.8800,227.5200,225.1900,226.0300,3203658
1970-01-01 00:28:10.156800,227.2600,227.5900,223.5401,225.6600,5363244
1970-01-01 00:28:09.897600,230.0000,230.8100,227.2900,228.0600,3529741
1970-01-01 00:28:09.811200,231.1000,233.5000,227.3200,228.1600,5302994
1970-01-01 00:28:09.724800,233.9800,238.2200,231.2301,234.3700,8516287
1970-01-01 00:28:09.638400,227.0500,229.6208,225.4650,227.6300,5094240
1970-01-01 00:28:09.552000,229.2400,230.2800,227.8100,228.0000,3558250
1970-01-01 00:28:09.292800,229.7000,232.2000,228.1500,229.3300,4278735
1970-01-01 00:28:09.206400,228.2600,230.9600,227.6000,230.3700,5800286
1970-01-01 00:28:09.120000,221.9000,228.0900,221.6132,227.2800,8923503
1970-01-01 00:28:09.033600,222.0600,222.3500,217.2400,221.1700,10030524
1970-01-01 00:28:08.947200,209.0000,212.8700,208.3150,212.8100,3820076
1970-01-01 00:28:08.688000,209.7700,212.1100,209.2800,209.5900,3022151
1970-01-01 00:28:08.601600,211.2000,212.5000,207.8310,210.1400,4254061
1970-01-01 00:28:08.515200,210.4900,214.6200,210.0900,213.8200,5071608
1970-01-01 00:28:08.342400,210.5700,211.9600,209.9200,211.6500,2399966
1970-01-01 00:28:08.083200,211.8600,213.8500,210.9619,211.2600,5984203
1970-01-01 00:28:07.996800,211.9000,212.6500,209.7200,210.4300,3838304
1970-01-01 00:28:07.910400,208.4100,212.2000,207.6000,212.1700,4775913
1970-01-01 00:28:07.824000,208.1400,210.4800,207.5200,208.8200,4014756
1970-01-01 00:28:07.737600,209.0200,211.7500,207.3500,207.3600,4771543
1970-01-01 00:28:07.478400,210.5000,211.0000,208.0700,210.0900,14037587
1970-01-01 00:28:07.392000,209.6300,213.9564,209.0900,213.2900,5694224
1970-01-01 00:28:07.305600,216.5200,217.7950,208.0701,209.5900,7971632
1970-01-01 00:28:07.219200,208.6500,217.0500,208.6100,216.9700,9527235
1970-01-01 00:28:06.873600,213.5400,213.6500,210.6000,211.7600,13672662
1970-01-01 00:28:06.787200,207.9500,213.3250,207.3700,211.9200,7905381
1970-01-01 00:28:06.700800,207.7000,211.7100,205.0200,209.4000,8963393
1970-01-01 00:28:06.614400,215.5000,216.2326,207.9200,208.9800,11698916
1970-01-01 00:28:06.528000,216.1500,220.3900,212.1400,213.6900,11585179
1970-01-01 00:28:06.268800,210.6900,218.6600,210.6900,215.3100,7679636
1970-01-01 00:28:06.182400,205.3800,210.3800,204.8500,209.5300,5551699
1970-01-01 00:28:06.096000,214.8800,216.6600,204.7800,205.7300,9323896
1970-01-01 00:28:06.009600,208.5500,213.4000,208.3700,212.8500,6795996
1970-01-01 00:28:05.923200,210.4700,212.3200,207.0550,209.8600,7804410
1970-01-01 00:28:05.664000,212.9000,216.1400,210.4300,213.0300,11026890
1970-01-01 00:28:05.577600,208.2200,215.3600,206.0600,212.9000,20907358
1970-01-01 00:28:05.491200,219.5500,225.0000,217.0600,223.3800,17664122
1970-01-01 00:28:05.404800,219.2700,222.1400,215.7300,218.8700,10421048
1970-01-01 00:28:05.059200,212.8000,216.1500,212.5500,215.4400,6933320
1970-01-01 00:28:04.972800,212.0200,212.3300,208.4400,209.9100,6496676
1970-01-01 00:28:04.886400,206.0400,210.2100,205.4200,209.0600,4894012
1970-01-01 00:28:04.800000,207.7400,209.6400,206.4700,206.6400,4256810
1970-01-01 00:28:04.713600,209.1700,212.8200,209.0400,210.2600,3890834
1970-01-01 00:28:04.454400,212.9600,213.2400,209.9300,210.3600,6091604
1970-01-01 00:28:04.368000,209.5000,213.8800,209.3300,213.3200,5165465
1970-01-01 00:28:04.281600,206.4950,209.4900,204.8000,209.3800,5772221
1970-01-01 00:28:04.195200,201.9300,205.6700,201.7500,204.5600,4424764
1970-01-01 00:28:04.108800,203.7500,205.3999,202.4750,203.3300,4518205
1970-01-01 00:28:03.849600,203.4300,203.9640,200.1300,201.8100,4733643
1970-01-01 00:28:03.763200,202.9100,203.8000,198.5543,203.4700,5366315
1970-01-01 00:28:03.676800,204.9400,206.2800,203.0400,204.8500,6535555
1970-01-01 00:28:03.590400,196.7800,203.8000,196.7800,201.1800,6996781
1970-01-01 00:28:03.504000,198.7200,200.4999,196.0800,197.9000,4169404
