date,open,high,low,close,volume
1970-01-01 00:28:33.916800,421.5000,424.5800,419.6100,423.0400,1568788
1970-01-01 00:28:33.830400,417.7100,425.3500,416.2000,424.0000,2662338
1970-01-01 00:28:33.744000,406.9400,417.9799,404.5700,417.3500,4165569
1970-01-01 00:28:33.484800,404.0600,408.0000,403.0100,404.0000,2805466
1970-01-01 00:28:33.398400,405.4900,407.8600,402.4100,403.1100,2776465
1970-01-01 00:28:33.312000,402.4000,407.1200,401.1800,403.9100,4373757
1970-01-01 00:28:33.225600,404.4500,404.9700,395.1800,396.8600,3459728
1970-01-01 00:28:33.139200,407.0000,412.8650,398.6900,400.8800,6176998
1970-01-01 00:28:32.880000,392.8400,394.0900,387.1200,389.4900,2815758
1970-01-01 00:28:32.793600,400.4800,401.4700,394.8400,397.4800,2176231
1970-01-01 00:28:32.707200,404.0100,405.4500,397.2900,400.7600,1903250
1970-01-01 00:28:32.620800,411.5100,413.2212,407.0500,410.7100,1245669
1970-01-01 00:28:32.534400,409.1000,412.5250,407.5500,410.5400,1177572
1970-01-01 00:28:32.275200,406.5600,409.1350,401.4700,408.0700,1688416
1970-01-01 00:28:32.188800,418.0000,419.0000,405.7000,406.2500,1693177
1970-01-01 00:28:32.102400,411.0000,416.6300,411.0000,414.0000,1540457
1970-01-01 00:28:32.016000,410.7400,413.1700,407.6150,410.1500,1969648
1970-01-01 00:28:31.929600,416.6800,417.9500,412.0000,413.5100,1533712
1970-01-01 00:28:31.584000,416.2100,419.2000,414.9800,417.6900,2409718
1970-01-01 00:28:31.497600,409.6200,415.4900,408.3700,415.2500,2353629
1970-01-01 00:28:31.411200,406.0900,409.3300,404.5200,406.1800,1406974
1970-01-01 00:28:31.324800,406.8700,410.4600,403.8600,404.9400,1683977
1970-01-01 00:28:31.065600,414.4000,416.7600,405.7800,406.8200,2190278
1970-01-01 00:28:30.979200,399.7700,414.0248,399.0900,413.7100,4613791
1970-01-01 00:28:30.892800,386.3600,396.5000,386.0000,396.4700,2157408
1970-01-01 00:28:30.806400,384.0700,390.7800,383.7050,388.6600,1858220
1970-01-01 00:28:30.720000,388.6500,389.0300,383.4100,384.3700,2069030
1970-01-01 00:28:30.460800,388.8700,391.1300,386.4000,387.2100,3763948
